,type,release_year,rating,count
0,1,2020,TV-MA,256
1,1,2020,R,0
2,1,2020,PG-13,0
3,1,2020,TV-14,89
4,1,2020,TV-PG,35
5,1,2020,NR,0
6,1,2020,TV-G,19
7,1,2020,TV-Y,33
8,1,2020,,0
9,1,2020,TV-Y7,25
10,1,2020,PG,0
11,1,2020,G,0
12,1,2020,NC-17,0
13,1,2020,TV-Y7-FV,0
14,1,2020,UR,0
15,1,2016,TV-MA,66
16,1,2016,R,1
17,1,2016,PG-13,0
18,1,2016,TV-14,77
19,1,2016,TV-PG,45
20,1,2016,NR,0
21,1,2016,TV-G,9
22,1,2016,TV-Y,22
23,1,2016,,0
24,1,2016,TV-Y7,20
25,1,2016,PG,0
26,1,2016,G,0
27,1,2016,NC-17,0
28,1,2016,TV-Y7-FV,0
29,1,2016,UR,0
30,1,2011,TV-MA,7
31,1,2011,R,0
32,1,2011,PG-13,0
33,1,2011,TV-14,17
34,1,2011,TV-PG,7
35,1,2011,NR,0
36,1,2011,TV-G,1
37,1,2011,TV-Y,4
38,1,2011,,0
39,1,2011,TV-Y7,3
40,1,2011,PG,0
41,1,2011,G,0
42,1,2011,NC-17,0
43,1,2011,TV-Y7-FV,0
44,1,2011,UR,0
45,1,2009,TV-MA,10
46,1,2009,R,0
47,1,2009,PG-13,0
48,1,2009,TV-14,14
49,1,2009,TV-PG,6
50,1,2009,NR,0
51,1,2009,TV-G,1
52,1,2009,TV-Y,1
53,1,2009,,0
54,1,2009,TV-Y7,2
55,1,2009,PG,0
56,1,2009,G,0
57,1,2009,NC-17,0
58,1,2009,TV-Y7-FV,0
59,1,2009,UR,0
60,1,2008,TV-MA,5
61,1,2008,R,0
62,1,2008,PG-13,0
63,1,2008,TV-14,10
64,1,2008,TV-PG,3
65,1,2008,NR,0
66,1,2008,TV-G,2
67,1,2008,TV-Y,1
68,1,2008,,0
69,1,2008,TV-Y7,2
70,1,2008,PG,0
71,1,2008,G,0
72,1,2008,NC-17,0
73,1,2008,TV-Y7-FV,0
74,1,2008,UR,0
75,1,2019,TV-MA,228
76,1,2019,R,0
77,1,2019,PG-13,0
78,1,2019,TV-14,96
79,1,2019,TV-PG,37
80,1,2019,NR,0
81,1,2019,TV-G,9
82,1,2019,TV-Y,22
83,1,2019,,0
84,1,2019,TV-Y7,22
85,1,2019,PG,0
86,1,2019,G,0
87,1,2019,NC-17,0
88,1,2019,TV-Y7-FV,0
89,1,2019,UR,0
90,1,1997,TV-MA,0
91,1,1997,R,0
92,1,1997,PG-13,0
93,1,1997,TV-14,0
94,1,1997,TV-PG,0
95,1,1997,NR,0
96,1,1997,TV-G,2
97,1,1997,TV-Y,1
98,1,1997,,0
99,1,1997,TV-Y7,1
100,1,1997,PG,0
101,1,1997,G,0
102,1,1997,NC-17,0
103,1,1997,TV-Y7-FV,0
104,1,1997,UR,0
105,1,2017,TV-MA,117
106,1,2017,R,0
107,1,2017,PG-13,0
108,1,2017,TV-14,69
109,1,2017,TV-PG,32
110,1,2017,NR,0
111,1,2017,TV-G,6
112,1,2017,TV-Y,18
113,1,2017,,0
114,1,2017,TV-Y7,26
115,1,2017,PG,0
116,1,2017,G,0
117,1,2017,NC-17,0
118,1,2017,TV-Y7-FV,0
119,1,2017,UR,0
120,1,2018,TV-MA,196
121,1,2018,R,0
122,1,2018,PG-13,0
123,1,2018,TV-14,91
124,1,2018,TV-PG,36
125,1,2018,NR,0
126,1,2018,TV-G,7
127,1,2018,TV-Y,29
128,1,2018,,0
129,1,2018,TV-Y7,28
130,1,2018,PG,0
131,1,2018,G,0
132,1,2018,NC-17,0
133,1,2018,TV-Y7-FV,0
134,1,2018,UR,0
135,1,2014,TV-MA,19
136,1,2014,R,0
137,1,2014,PG-13,0
138,1,2014,TV-14,33
139,1,2014,TV-PG,22
140,1,2014,NR,0
141,1,2014,TV-G,3
142,1,2014,TV-Y,9
143,1,2014,,0
144,1,2014,TV-Y7,3
145,1,2014,PG,0
146,1,2014,G,0
147,1,2014,NC-17,0
148,1,2014,TV-Y7-FV,1
149,1,2014,UR,0
150,1,2015,TV-MA,48
151,1,2015,R,1
152,1,2015,PG-13,0
153,1,2015,TV-14,56
154,1,2015,TV-PG,27
155,1,2015,NR,1
156,1,2015,TV-G,5
157,1,2015,TV-Y,10
158,1,2015,,0
159,1,2015,TV-Y7,10
160,1,2015,PG,0
161,1,2015,G,0
162,1,2015,NC-17,0
163,1,2015,TV-Y7-FV,0
164,1,2015,UR,0
165,1,2010,TV-MA,9
166,1,2010,R,0
167,1,2010,PG-13,0
168,1,2010,TV-14,14
169,1,2010,TV-PG,10
170,1,2010,NR,0
171,1,2010,TV-G,0
172,1,2010,TV-Y,2
